net,length_um
_0247_,416.42
_0026_,416.35
regfile_inst.registers\[15\]\[5\],416.2
_0019_,415.81
_0305_,414.8
_0414_,414.12
clknet_3_7__leaf_clk,413.66
_0311_,412.6
_0440_,412.12
_0494_,411.72
_0075_,411.66
_0213_,411.2
_0365_,409.74
net22,409.54
_0217_,409.3
_0324_,408.7
_0328_,406.24
_0132_,404.94
_0468_,404.8
_0480_,404.59
clk,403.62
_0007_,402.71
_0090_,402.54
_0356_,402.48
_0453_,401.7
_0470_,401.29
_0435_,401.12
clknet_3_4__leaf_clk,399.62
_0319_,397.06
_0567_,396.82
_0123_,394.84
_0027_,394.75
_0100_,394.3
regfile_inst.registers\[10\]\[8\],393.78
clknet_3_2__leaf_clk,391.96
_0371_,391.94
_0058_,390.96
_0478_,390.78
net21,389.67
_0633_,389.5
_0608_,389.22
_0074_,389.185
net42,387.95
net17,387.74
_0366_,386.98
_0399_,386.5
_0066_,385.9
_0538_,383.92
_0327_,383.68
imem_inst.address\[6\],382.32
_0406_,382.3
_0493_,380.1
_0626_,379.86
_0410_,379.1
_0170_,379.07
regfile_inst.registers\[25\]\[14\],378.9
_0527_,378.39
_0035_,377.68
_0168_,376.98
_0604_,376.7
_0581_,376.54
_0181_,376.24
_0456_,376.16
imem_inst.address\[3\],376.12
_0020_,375.24
_0407_,374.72
_0014_,373.58
_0471_,371.82
_0016_,371.65
clknet_3_1__leaf_clk,371.57
_0059_,371.56
_0230_,370.825
_0340_,370.73
_0107_,370
_0056_,369.97
_0521_,369.02
_0444_,368.34
imem_inst.address\[14\],367.98
_0498_,367.8
_0025_,365.65
display_inst.counter\[8\],365.22
_0622_,364.76
_0563_,364.3
_0558_,364.18
_0505_,363.4
_0391_,363.3
_0040_,362.72
_0071_,361.72
_0530_,360.1
_0350_,357.78
_0546_,357.36
_0334_,357.18
_0079_,356.23
_0339_,356.16
imem_inst.address\[30\],356.16
_0511_,354.7
_0587_,354.02
_0467_,353.68
_0240_,353.48
net82,352.86
_0241_,352.82
_0510_,351.6
_0466_,350.255
_0504_,349.78
_0303_,348.15
net14,348.06
_0523_,345.84
_0409_,345.38
_0083_,344.44
_0501_,344.3
_0361_,343.98
_0415_,343.18
_0009_,341.6
_0260_,341.44
_0463_,341.16
imem_inst.address\[24\],339.98
_0121_,339.86
_0582_,339.48
_0176_,339.38
_0358_,339.32
_0370_,338.46
_0091_,337.695
regfile_inst.registers\[25\]\[2\],337.68
_0197_,337.62
_0126_,335.335
_0565_,335.04
imem_inst.address\[25\],334.36
_0418_,333.62
_0002_,332.94
_0165_,332.5
_0629_,332.22
_0307_,331.78
_0482_,330.88
_0390_,330.05
_0244_,329.32
_0416_,328.44
_0318_,328.24
_0302_,327.68
net20,326.9
_0085_,326.42
_0535_,326.32
_0508_,323.88
_0532_,323.36
_0473_,322.97
_0345_,322.9
_0045_,322.12
_0322_,320.18
_0010_,319.47
_0462_,319.12
_0125_,315.04
regfile_inst.registers\[15\]\[1\],314.5
_0042_,314.3
_0037_,312.4
_0351_,312.02
_0384_,311.5
_0595_,311.38
_0325_,310.46
_0304_,310.28
_0177_,310.04
net18,309.12
net9,307.16
_0012_,305.05
_0332_,304.7
_0438_,304.46
_0434_,304.08
_0614_,299.14
_0092_,298.9
_0539_,298
_0078_,296.14
_0156_,294.9
_0162_,292.32
_0110_,291.52
