net,length_um
_0935_,34.66
cpu_inst.regfile_inst.registers\[1\]\[3\],34.64
_1734_,34.5
_1617_,34.2
_0546_,34.18
_0769_,34.14
_1887_,33.54
net24,33.48
_2338_,33.28
_1191_,33.22
_0708_,33.18
_1660_,32.97
cpu_inst.regfile_inst.registers\[11\]\[4\],32.92
_0959_,32.9
_1455_,32.8
_1326_,32.78
_1947_,32.64
_1253_,32.52
clknet_leaf_11_clk,32.46
_1767_,32.38
_1548_,32.32
cpu_inst.decoder_inst.current_pc\[1\],32.26
cpu_inst.display_inst.counter\[12\],32.24
_0860_,32.06
_1172_,31.675
_1081_,31.62
_2297_,31.58
_1643_,31.52
_1607_,31.51
cpu_inst.regfile_inst.registers\[7\]\[22\],31.46
_0751_,31.36
_1372_,31.34
_1015_,31.26
_1700_,31.04
_1095_,31
_0559_,30.96
_0813_,30.96
_1778_,30.96
_1492_,30.705
cpu_inst.decoder_inst.current_pc\[29\],30.66
_1842_,30.54
_2318_,30.46
cpu_inst.regfile_inst.registers\[7\]\[1\],30.44
_1764_,30.32
cpu_inst.regfile_inst.registers\[1\]\[30\],30.28
_1121_,30.22
_1648_,30.01
_2286_,29.86
_0664_,29.84
_0812_,29.78
cpu_inst.regfile_inst.registers\[4\]\[6\],29.76
_0553_,29.66
cpu_inst.decoder_inst.current_pc\[12\],29.6
cpu_inst.regfile_inst.registers\[25\]\[12\],29.6
_0624_,29.44
_0945_,29.42
_0597_,29.32
_0981_,29.32
clknet_leaf_31_clk,29.32
cpu_inst.regfile_inst.registers\[11\]\[24\],29.28
_2279_,29.2
_1234_,29.18
cpu_inst.display_inst.counter\[0\],29.12
_0742_,29.1
_1638_,29.08
_1902_,29.08
_2328_,29.06
cpu_inst.regfile_inst.registers\[7\]\[0\],29.02
_0827_,28.98
cpu_inst.display_inst.counter\[13\],28.82
_0633_,28.8
_1019_,28.8
_1346_,28.78
cpu_inst.regfile_inst.registers\[7\]\[5\],28.78
_1367_,28.7
_1945_,28.64
_1079_,28.4
_2505_,28.34
cpu_inst.decoder_inst.current_pc\[14\],28.28
_0680_,28.24
_0567_,28.2
cpu_inst.display_inst.counter\[3\],28.2
cpu_inst.regfile_inst.registers\[15\]\[5\],28.2
cpu_inst.regfile_inst.registers\[8\]\[1\],28.12
_0950_,27.96
_0832_,27.94
_1308_,27.9
_1408_,27.88
_0824_,27.82
cpu_inst.regfile_inst.registers\[10\]\[31\],27.78
_1400_,27.64
cpu_inst.decoder_inst.current_pc\[16\],27.62
cpu_inst.decoder_inst.current_pc\[31\],27.535
_1597_,27.48
cpu_inst.regfile_inst.registers\[7\]\[17\],27.46
_1628_,27.44
_1944_,27.44
_0543_,27.42
_1420_,27.34
_0654_,27.18
_2277_,27.06
_0947_,27.04
cpu_inst.regfile_inst.registers\[4\]\[21\],26.94
cpu_inst.regfile_inst.registers\[0\]\[24\],26.88
_1074_,26.86
cpu_inst.regfile_inst.registers\[11\]\[2\],26.84
cpu_inst.regfile_inst.registers\[4\]\[8\],26.84
_0635_,26.78
_0501_,26.7
_1080_,26.68
_0794_,26.64
cpu_inst.regfile_inst.registers\[7\]\[25\],26.6
cpu_inst.regfile_inst.registers\[10\]\[2\],26.56
_0605_,26.46
_0906_,26.42
_1913_,26.4
_0799_,26.3
_1187_,26.26
_0616_,26.24
_0809_,26.22
cpu_inst.regfile_inst.registers\[7\]\[13\],26.22
cpu_inst.display_inst.counter\[1\],26.2
_1889_,26.16
cpu_inst.regfile_inst.registers\[25\]\[21\],26.14
cpu_inst.decoder_inst.current_pc\[9\],26.12
_0750_,26.1
_1316_,26.08
_1885_,26.04
cpu_inst.decoder_inst.current_pc\[21\],26.04
_0663_,26
_1480_,25.88
_0780_,25.8
_0771_,25.72
cpu_inst.regfile_inst.registers\[5\]\[17\],25.5
_1140_,25.48
_1586_,25.48
_1941_,25.46
_2334_,25.44
cpu_inst.regfile_inst.registers\[10\]\[6\],25.42
_1531_,25.4
_1155_,25.38
_1841_,25.38
_0594_,25.34
_1481_,25.34
_0805_,25.335
_0971_,25.28
_2522_,25.21
cpu_inst.regfile_inst.registers\[2\]\[3\],25.14
cpu_inst.regfile_inst.registers\[4\]\[14\],25.06
_1163_,25.05
cpu_inst.regfile_inst.registers\[2\]\[29\],25.04
_0928_,24.98
_1148_,24.98
_1111_,24.92
_1943_,24.92
_0856_,24.86
_1020_,24.84
_0952_,24.82
_1389_,24.62
_1737_,24.6
_0552_,24.52
_2345_,24.42
cpu_inst.decoder_inst.current_pc\[25\],24.36
_0740_,24.34
