net,length_um
_3014_,120.1
_2233_,119.915
_3397_,119.68
clknet_leaf_26_CLK,119.36
clknet_leaf_38_CLK,118.06
_1056_,117.92
net56,117.77
_2974_,117.34
_2133_,117.06
clknet_leaf_93_CLK,116.58
_3349_,115.92
_2208_,115.64
_3007_,115.6
_2389_,115.55
_2976_,115.42
_3313_,115.37
_3001_,115.3
_2478_,115.25
_2416_,114.44
clknet_leaf_46_CLK,114.38
_2780_,114.18
_1616_,113.99
_3130_,113.68
clknet_leaf_23_CLK,113.35
net120,113.16
_3317_,112.92
_3346_,112.58
_2293_,112.37
_3284_,112.12
_2540_,112.02
_3276_,111.79
_2504_,111.62
_2206_,111.52
_3374_,111.47
_3031_,111.42
_3301_,111.41
_3324_,111.35
clknet_leaf_54_CLK,111.04
_2318_,110.56
_2332_,110.06
_3322_,109.99
_2428_,109.76
_2709_,109.7
_2618_,109.18
net71,108.92
_3005_,108.45
_2402_,108.38
_2479_,108.36
clknet_leaf_41_CLK,108.26
_2680_,108.17
clknet_leaf_31_CLK,108
_2972_,107.94
clknet_leaf_62_CLK,107.8
clknet_leaf_49_CLK,107.48
_3382_,107.4
_3388_,107.33
clknet_leaf_73_CLK,107.12
_3359_,106.9
_2219_,106.82
_3309_,106.8
_2211_,106.46
_3303_,106.44
net24,106.2
clknet_leaf_2_CLK,105.92
_2218_,105.88
_3022_,105.64
clknet_leaf_68_CLK,105.64
_2982_,105.57
_3305_,105.52
_2212_,105.29
_2240_,105.065
_3376_,104.58
_2454_,104.24
_3372_,103
_2636_,102.82
net51,102.32
_2304_,102.12
clknet_leaf_40_CLK,102.02
clknet_leaf_28_CLK,101.4
_2571_,101.3
_3292_,101.285
clknet_leaf_39_CLK,101.1
clknet_leaf_43_CLK,100.915
_3367_,100.66
_2817_,100.55
_2229_,100.54
clknet_leaf_29_CLK,100.28
_3587_,100.14
clknet_leaf_86_CLK,100.14
clknet_leaf_42_CLK,99.75
_2663_,99.62
clknet_leaf_18_CLK,99.42
net115,99.03
clknet_leaf_20_CLK,99
_1114_,98.64
_3204_,98.46
_1076_,98.24
net124,98.18
_2672_,97.96
clknet_leaf_61_CLK,97.78
_2963_,97.46
_3355_,97.3
_3805_,96.66
clknet_leaf_71_CLK,96.26
_3351_,95.72
_3296_,95.58
clknet_leaf_11_CLK,95.36
_3340_,94.88
_3290_,94.75
net53,94.7
net75,94.44
_3315_,94.04
_2775_,94.02
_3043_,93.8
_3384_,93.64
net117,93.5
clknet_leaf_84_CLK,93.08
_2436_,92.86
clknet_leaf_5_CLK,92.32
_3395_,92.28
clknet_leaf_17_CLK,92.22
_3286_,91.8
net52,91.66
_3353_,91.48
_2014_,91.22
net28,91
_2985_,90.98
_1267_,90.64
net54,90.54
_3386_,90.29
clknet_leaf_90_CLK,89.98
clknet_leaf_12_CLK,89.9
_2446_,89.88
_2758_,89.84
_3370_,88.92
_3391_,88.52
clknet_leaf_37_CLK,88.3
clknet_leaf_47_CLK,88.2
_3344_,87.6
clknet_leaf_45_CLK,87.21
_4166_,87.02
_2404_,86.16
_1096_,86.14
net78,85.86
_2305_,85.34
clknet_leaf_7_CLK,85.23
_2205_,85.18
_2715_,84.68
_3055_,84.28
_2639_,84
_2397_,83.82
_3361_,83.68
_2322_,83.06
_3334_,82.84
_2741_,82.68
_2265_,82.66
clknet_leaf_82_CLK,82.55
_1075_,81.56
_2673_,81.52
_1169_,81.5
_2489_,81.42
clknet_leaf_10_CLK,81.22
_2786_,81.12
net118,80.94
net144,80.63
net35,80.58
clknet_leaf_36_CLK,80.48
_2695_,80.26
_1801_,79.92
_2803_,79.86
_2468_,79.33
_2637_,78.78
_2467_,78.73
_1599_,78.72
_2563_,78.67
_3307_,78.42
_1221_,78.26
clknet_leaf_8_CLK,78.24
_2443_,77.72
clknet_leaf_87_CLK,77.3
_2341_,77.12
